source,line,section,value,category,rule,evidence,context
notes/draft-methods.md,23,1. Study area and analysis lattice,33,self_evident,study box or lattice shape,,"to 122.55° east and 26.95° to 35.2° north, giving 31 columns by 33 rows and"
notes/draft-methods.md,24,1. Study area and analysis lattice,"1,023",measured,inline resolver,composite.total_cells,"1,023<!--#composite.total_cells--> cells in total. At 31.1° north, the centre of"
notes/draft-methods.md,24,1. Study area and analysis lattice,31.1,self_evident,label or pair beside a marked number,,"1,023<!--#composite.total_cells--> cells in total. At 31.1° north, the centre of"
notes/draft-methods.md,25,1. Study area and analysis lattice,24,neither,no resolver and no exemption,,"the domain, one cell measures approximately 24 by 28 km."
notes/draft-methods.md,25,1. Study area and analysis lattice,28,neither,no resolver and no exemption,,"the domain, one cell measures approximately 24 by 28 km."
notes/draft-methods.md,29,1. Study area and analysis lattice,7.75,neither,no resolver and no exemption,,for a 7.75° by 8.25° box at 0.25° the rounding is exact only if the declared
notes/draft-methods.md,29,1. Study area and analysis lattice,8.25,neither,no resolver and no exemption,,for a 7.75° by 8.25° box at 0.25° the rounding is exact only if the declared
notes/draft-methods.md,29,1. Study area and analysis lattice,0.25,self_evident,grid resolution,,for a 7.75° by 8.25° box at 0.25° the rounding is exact only if the declared
notes/draft-methods.md,37,1. Study area and analysis lattice,60,cited,in a draft's own exemption list,introduction: 60 percent of emissions in three regions,Global Carbon Project place approximately 60 % of China's national methane
notes/draft-methods.md,39,1. Study area and analysis lattice,30,cited,in a draft's own exemption list,"introduction: inventory spread, at least 30 percent","China — which together occupy under 30 % of the country's land area, with those"
notes/draft-methods.md,40,1. Study area and analysis lattice,2026,self_evident,year as a date,,"emissions dominated by the energy and agricultural sectors (Zhao et al., 2026)."
notes/draft-methods.md,45,2. Satellite observations of atmospheric methane,2,self_evident,structural line,,## 2. Satellite observations of atmospheric methane
notes/draft-methods.md,47,2.1 Product and stream,2.1,self_evident,structural line,,### 2.1 Product and stream
notes/draft-methods.md,50,2.1 Product and stream,2,neither,no resolver and no exemption,,"Sentinel-5P TROPOMI Level 2 methane product (`L2__CH4___`), reprocessed stream"
notes/draft-methods.md,51,2.1 Product and stream,02.04,self_evident,part of a token,,"(RPRO), processor version 02.04.00. The Level 2 record for this product begins on"
notes/draft-methods.md,51,2.1 Product and stream,2,neither,no resolver and no exemption,,"(RPRO), processor version 02.04.00. The Level 2 record for this product begins on"
notes/draft-methods.md,52,2.1 Product and stream,30,cited,in a draft's own exemption list,"introduction: inventory spread, at least 30 percent","30 April 2018, so the 2018 analysis year is an eight-month year: no granules"
notes/draft-methods.md,52,2.1 Product and stream,2018,self_evident,year as a date,,"30 April 2018, so the 2018 analysis year is an eight-month year: no granules"
notes/draft-methods.md,52,2.1 Product and stream,2018,self_evident,year as a date,,"30 April 2018, so the 2018 analysis year is an eight-month year: no granules"
notes/draft-methods.md,57,2.1 Product and stream,2018,self_evident,year as a date,,"2018 the archive listing returns 6,390 keys for 3,437 distinct orbits; only the"
notes/draft-methods.md,57,2.1 Product and stream,"6,390",neither,no resolver and no exemption,,"2018 the archive listing returns 6,390 keys for 3,437 distinct orbits; only the"
notes/draft-methods.md,57,2.1 Product and stream,"3,437",neither,no resolver and no exemption,,"2018 the archive listing returns 6,390 keys for 3,437 distinct orbits; only the"
notes/draft-methods.md,62,2.2 Granule candidacy,2.2,self_evident,structural line,,### 2.2 Granule candidacy
notes/draft-methods.md,66,2.2 Granule candidacy,13,neither,no resolver and no exemption,,than by footprint. Sentinel-5P is sun-synchronous with a 13:30 local-time
notes/draft-methods.md,66,2.2 Granule candidacy,30,self_evident,part of a token,,than by footprint. Sentinel-5P is sun-synchronous with a 13:30 local-time
notes/draft-methods.md,68,2.2 Granule candidacy,05,neither,no resolver and no exemption,,"approximately 05:19 to 05:50 UTC. That window, widened by 55 minutes to allow for"
notes/draft-methods.md,68,2.2 Granule candidacy,19,self_evident,part of a token,,"approximately 05:19 to 05:50 UTC. That window, widened by 55 minutes to allow for"
notes/draft-methods.md,68,2.2 Granule candidacy,05,neither,no resolver and no exemption,,"approximately 05:19 to 05:50 UTC. That window, widened by 55 minutes to allow for"
notes/draft-methods.md,68,2.2 Granule candidacy,50,self_evident,part of a token,,"approximately 05:19 to 05:50 UTC. That window, widened by 55 minutes to allow for"
notes/draft-methods.md,68,2.2 Granule candidacy,55,neither,no resolver and no exemption,,"approximately 05:19 to 05:50 UTC. That window, widened by 55 minutes to allow for"
notes/draft-methods.md,69,2.2 Granule candidacy,578,measured,inline resolver,composite.granules_gridded,"swath width and neighbouring orbits, selected 578<!--#composite.granules_gridded-->"
notes/draft-methods.md,70,2.2 Granule candidacy,"3,437",neither,no resolver and no exemption,,"of the 3,437 deduplicated granules. The filter is a superset and not an exact"
notes/draft-methods.md,72,2.2 Granule candidacy,578,unresolved,"equals a resolver's value, written unmarked",composite.granules_gridded,"granule's own latitude and longitude arrays, after download. Of the 578,"
notes/draft-methods.md,73,2.2 Granule candidacy,223,measured,inline resolver,composite.granules_with_data,223<!--#composite.granules_with_data--> carried at least one in-domain sounding
notes/draft-methods.md,74,2.2 Granule candidacy,355,neither,no resolver and no exemption,,and 355 carried none.
notes/draft-methods.md,76,2.3 Quality filtering,2.3,self_evident,structural line,,### 2.3 Quality filtering
notes/draft-methods.md,78,2.3 Quality filtering,0.75,self_evident,inside a code span,,Soundings were retained at `qa_value ≥ 0.75`. The product documentation
notes/draft-methods.md,79,2.3 Quality filtering,0.5,cited,in a draft's own exemption list,introduction/discussion: averaging-kernel sensitivity threshold,recommends 0.5. Over this domain and this processor version the two thresholds
notes/draft-methods.md,83,2.3 Quality filtering,0.01,unresolved,"equals a resolver's value, written unmarked",deseason.impervious_change,"0.01, so the comparison was made in stored units against 75. Fill values were"
notes/draft-methods.md,83,2.3 Quality filtering,75,neither,no resolver and no exemption,,"0.01, so the comparison was made in stored units against 75. Fill values were"
notes/draft-methods.md,86,2.3 Quality filtering,"110,920",measured,inline resolver,composite.soundings,"The retained soundings number 110,920<!--#composite.soundings--> within the"
notes/draft-methods.md,89,"2.4 Four methane fields, not one",2.4,self_evident,structural line,,"### 2.4 Four methane fields, not one"
notes/draft-methods.md,93,"2.4 Four methane fields, not one",1,self_evident,structural line,,"1. **The raw retrieval**, `methane_mixing_ratio`. Gridded and reported, but not"
notes/draft-methods.md,95,"2.4 Four methane fields, not one",2,self_evident,structural line,,"2. **The operationally bias-corrected retrieval**,"
notes/draft-methods.md,98,"2.4 Four methane fields, not one",11.64,measured,inline resolver,composite.bias_mean, mean of 11.64<!--#composite.bias_mean--> ppb. This is the primary target.
notes/draft-methods.md,99,"2.4 Four methane fields, not one",3,self_evident,structural line,,"3. **The blended TROPOMI+GOSAT product** of Balasus et al. (2023), in which a"
notes/draft-methods.md,99,"2.4 Four methane fields, not one",2023,self_evident,structural line,,"3. **The blended TROPOMI+GOSAT product** of Balasus et al. (2023), in which a"
notes/draft-methods.md,103,"2.4 Four methane fields, not one",1,neither,no resolver and no exemption,, a **quality assurance value of 1**. That restriction costs nothing over this
notes/draft-methods.md,104,"2.4 Four methane fields, not one",2.3,self_evident,structural context,, domain and for a sharper reason than §2.3's: in-box `qa_value` takes only the
notes/draft-methods.md,105,"2.4 Four methane fields, not one",0,neither,no resolver and no exemption,," three values 0, 0.4 and 1, so every threshold above 0.4 selects the same"
notes/draft-methods.md,105,"2.4 Four methane fields, not one",0.4,neither,no resolver and no exemption,," three values 0, 0.4 and 1, so every threshold above 0.4 selects the same"
notes/draft-methods.md,105,"2.4 Four methane fields, not one",1,neither,no resolver and no exemption,," three values 0, 0.4 and 1, so every threshold above 0.4 selects the same"
notes/draft-methods.md,105,"2.4 Four methane fields, not one",0.4,neither,no resolver and no exemption,," three values 0, 0.4 and 1, so every threshold above 0.4 selects the same"
notes/draft-methods.md,107,"2.4 Four methane fields, not one",11.9,cited,in a draft's own exemption list,results: blended single-retrieval precision ppb, single-retrieval precision of 11.9 against 14.5 ppb and a reduction in
notes/draft-methods.md,107,"2.4 Four methane fields, not one",14.5,cited,in a draft's own exemption list,results: operational single-retrieval precision ppb, single-retrieval precision of 11.9 against 14.5 ppb and a reduction in
notes/draft-methods.md,108,"2.4 Four methane fields, not one",14.3,neither,no resolver and no exemption,, spatially variable bias against GOSAT from 14.3 to 10.4 ppb at 0.25 ×
notes/draft-methods.md,108,"2.4 Four methane fields, not one",10.4,neither,no resolver and no exemption,, spatially variable bias against GOSAT from 14.3 to 10.4 ppb at 0.25 ×
notes/draft-methods.md,108,"2.4 Four methane fields, not one",0.25,self_evident,grid resolution,, spatially variable bias against GOSAT from 14.3 to 10.4 ppb at 0.25 ×
notes/draft-methods.md,109,"2.4 Four methane fields, not one",0.3125,self_evident,grid resolution,," 0.3125°, the resolution the authors name as the one a regional inversion"
notes/draft-methods.md,111,"2.4 Four methane fields, not one",0.4,neither,no resolver and no exemption,," shortwave-infrared albedo is below 0.4, which is where TROPOMI biases are"
notes/draft-methods.md,114,"2.4 Four methane fields, not one",4,self_evident,structural line,,"4. **A deseasonalised field**, in which a region-wide seasonal cycle is removed"
notes/draft-methods.md,126,"2.4 Four methane fields, not one",5,self_evident,structural context,,"**The full baseline suite of §5 was run independently against fields 2, 3 and"
notes/draft-methods.md,126,"2.4 Four methane fields, not one",2,neither,no resolver and no exemption,,"**The full baseline suite of §5 was run independently against fields 2, 3 and"
notes/draft-methods.md,126,"2.4 Four methane fields, not one",3,neither,no resolver and no exemption,,"**The full baseline suite of §5 was run independently against fields 2, 3 and"
notes/draft-methods.md,127,"2.4 Four methane fields, not one",4,neither,no resolver and no exemption,,"4**, giving three complete sets of 88 model-scheme-weighting results. Field 2 is"
notes/draft-methods.md,127,"2.4 Four methane fields, not one",88,neither,no resolver and no exemption,,"4**, giving three complete sets of 88 model-scheme-weighting results. Field 2 is"
notes/draft-methods.md,127,"2.4 Four methane fields, not one",2,neither,no resolver and no exemption,,"4**, giving three complete sets of 88 model-scheme-weighting results. Field 2 is"
notes/draft-methods.md,136,"2.4 Four methane fields, not one",2019,self_evident,year as a date,,methane products into one variational inversion over Europe for 2019 produced
notes/draft-methods.md,137,"2.4 Four methane fields, not one",2,neither,no resolver and no exemption,,"emission budgets of +2 %, −1 % and −33 % relative to the same prior, with machine"
notes/draft-methods.md,137,"2.4 Four methane fields, not one",1,neither,no resolver and no exemption,,"emission budgets of +2 %, −1 % and −33 % relative to the same prior, with machine"
notes/draft-methods.md,137,"2.4 Four methane fields, not one",33,self_evident,study box or lattice shape,,"emission budgets of +2 %, −1 % and −33 % relative to the same prior, with machine"
notes/draft-methods.md,139,"2.4 Four methane fields, not one",2026,self_evident,year as a date,,"sensitivity (Sicsik-Paré et al., 2026). A result that holds on one retrieval and"
notes/draft-methods.md,141,"2.4 Four methane fields, not one",20,neither,no resolver and no exemption,,disagreement: aerosols account for 20–29 % of the predicted inter-product
notes/draft-methods.md,141,"2.4 Four methane fields, not one",29,neither,no resolver and no exemption,,disagreement: aerosols account for 20–29 % of the predicted inter-product
notes/draft-methods.md,142,"2.4 Four methane fields, not one",13,neither,no resolver and no exemption,,"difference, striping patterns 13–19 % and extreme albedo values 13–14 %, which"
notes/draft-methods.md,142,"2.4 Four methane fields, not one",19,neither,no resolver and no exemption,,"difference, striping patterns 13–19 % and extreme albedo values 13–14 %, which"
notes/draft-methods.md,142,"2.4 Four methane fields, not one",13,neither,no resolver and no exemption,,"difference, striping patterns 13–19 % and extreme albedo values 13–14 %, which"
notes/draft-methods.md,142,"2.4 Four methane fields, not one",14,neither,no resolver and no exemption,,"difference, striping patterns 13–19 % and extreme albedo values 13–14 %, which"
notes/draft-methods.md,144,"2.4 Four methane fields, not one",2.5,self_evident,structural context,,§2.5 are the right two things to have checked.
notes/draft-methods.md,146,2.5 Preprocessing steps not applied,2.5,self_evident,structural line,,### 2.5 Preprocessing steps not applied
notes/draft-methods.md,153,2.5 Preprocessing steps not applied,7,neither,no resolver and no exemption,, applied to data from 7 September 2024 (processor v02.07) onward and earlier
notes/draft-methods.md,153,2.5 Preprocessing steps not applied,2024,self_evident,year as a date,, applied to data from 7 September 2024 (processor v02.07) onward and earlier
notes/draft-methods.md,160,2.5 Preprocessing steps not applied,10,cited,in a draft's own exemption list,"methods: published precision filter, under 10 ppb"," floor**. Published chains variously require methane precision below 10 ppb, a"
notes/draft-methods.md,164,2.5 Preprocessing steps not applied,5.2,self_evident,structural context,," weighting is applied at all (§5.2), not by any measure of how representative"
notes/draft-methods.md,167,2.5 Preprocessing steps not applied,2.4,self_evident,structural context,,"The blended product in §2.4 addresses albedo dependence, aerosol scattering and"
notes/draft-methods.md,175,2.5 Preprocessing steps not applied,2.3,self_evident,structural context,,rather than adopted: the composite in §2.3 remains the primary field and
notes/draft-methods.md,181,2.5 Preprocessing steps not applied,"110,920",measured,inline resolver,quality.in_box_passed," 110,920<!--#quality.in_box_passed--> soundings that pass quality control,"
notes/draft-methods.md,182,2.5 Preprocessing steps not applied,10,cited,in a draft's own exemption list,"methods: published precision filter, under 10 ppb"," none has a retrieval precision above 10 ppb, so the published threshold would"
notes/draft-methods.md,184,2.5 Preprocessing steps not applied,0.05,cited,in a draft's own exemption list,methods: published albedo floor,* **The albedo floor at 0.05 removes
notes/draft-methods.md,185,2.5 Preprocessing steps not applied,"11,707",measured,inline resolver,sens.albedo_removed," 11,707<!--#sens.albedo_removed--> soundings and empties"
notes/draft-methods.md,186,2.5 Preprocessing steps not applied,174,measured,inline resolver,sens.albedo_cells_lost, 174<!--#sens.albedo_cells_lost--> of the 926 cells.** Compared on the
notes/draft-methods.md,186,2.5 Preprocessing steps not applied,926,self_evident,study box or lattice shape,, 174<!--#sens.albedo_cells_lost--> of the 926 cells.** Compared on the
notes/draft-methods.md,187,2.5 Preprocessing steps not applied,752,measured,inline resolver,sens.albedo_cells," 752<!--#sens.albedo_cells--> cells that survive, no land-cover model"
notes/draft-methods.md,191,2.5 Preprocessing steps not applied,5.09,measured,inline resolver,sens.stripe_sd, standard deviation of 5.09<!--#sens.stripe_sd--> ppb. Applying them raises
notes/draft-methods.md,195,2.5 Preprocessing steps not applied,-0.03,measured,inline resolver,sens.weight_correlation," correlation -0.03<!--#sens.weight_correlation-->, because the spatial term"
notes/draft-methods.md,196,2.5 Preprocessing steps not applied,97.5,measured,inline resolver,sens.spatial_share_pct, carries 97.5<!--#sens.spatial_share_pct--> percent of the per-cell variance
notes/draft-methods.md,200,2.5 Preprocessing steps not applied,0.0244,measured,inline resolver,sens.impervious_committed_weighted, 0.0244<!--#sens.impervious_committed_weighted--> to
notes/draft-methods.md,201,2.5 Preprocessing steps not applied,0.1429,measured,inline resolver,sens.impervious_repweight," 0.1429<!--#sens.impervious_repweight--> under spatial blocks, and the spatial"
notes/draft-methods.md,202,2.5 Preprocessing steps not applied,0.5137,measured,inline resolver,sens.null_committed_weighted," null rises too, from 0.5137<!--#sens.null_committed_weighted--> to"
notes/draft-methods.md,203,2.5 Preprocessing steps not applied,0.5399,measured,inline resolver,sens.null_repweight, 0.5399<!--#sens.null_repweight-->. **The ordering is unchanged and the gap
notes/draft-methods.md,211,3. Compositing,3,self_evident,structural line,,## 3. Compositing
notes/draft-methods.md,220,3. Compositing,926,measured,inline resolver,composite.covered_cells,The resulting composite covers 926<!--#composite.covered_cells--> of the
notes/draft-methods.md,221,3. Compositing,"1,023",measured,inline resolver,composite.total_cells,"1,023<!--#composite.total_cells--> cells, or"
notes/draft-methods.md,222,3. Compositing,90.52,measured,inline resolver,composite.coverage_percent,"90.52<!--#composite.coverage_percent--> %, leaving"
notes/draft-methods.md,223,3. Compositing,97,measured,inline resolver,composite.uncovered_cells,97<!--#composite.uncovered_cells--> cells with no qualifying sounding in 2018.
notes/draft-methods.md,223,3. Compositing,2018,self_evident,year as a date,,97<!--#composite.uncovered_cells--> cells with no qualifying sounding in 2018.
notes/draft-methods.md,224,3. Compositing,1,measured,inline resolver,composite.min_soundings,Per-cell counts run from 1<!--#composite.min_soundings--> to
notes/draft-methods.md,225,3. Compositing,410,measured,inline resolver,composite.max_soundings,410<!--#composite.max_soundings--> with a median of
notes/draft-methods.md,226,3. Compositing,74,measured,inline resolver,composite.median_soundings,74<!--#composite.median_soundings-->.
notes/draft-methods.md,228,3. Compositing,97,self_evident,study box or lattice shape,,"Coverage is not missing at random. Of the 97 uncovered cells,"
notes/draft-methods.md,229,3. Compositing,74,measured,inline resolver,composite.absent_on_land,"74<!--#composite.absent_on_land--> lie wholly on land, and their median elevation"
notes/draft-methods.md,230,3. Compositing,502,measured,inline resolver,composite.absent_median_elevation,is 502<!--#composite.absent_median_elevation--> m against
notes/draft-methods.md,231,3. Compositing,35,measured,inline resolver,composite.covered_median_elevation,35<!--#composite.covered_median_elevation--> m for the covered cells;
notes/draft-methods.md,232,3. Compositing,50,measured,inline resolver,composite.absent_above_500m,50<!--#composite.absent_above_500m--> sit above 500 m against
notes/draft-methods.md,232,3. Compositing,500,self_evident,label or pair beside a marked number,,50<!--#composite.absent_above_500m--> sit above 500 m against
notes/draft-methods.md,233,3. Compositing,24,measured,inline resolver,composite.covered_above_500m,24<!--#composite.covered_above_500m--> of the 926. The largest connected gap is
notes/draft-methods.md,233,3. Compositing,926,self_evident,study box or lattice shape,,24<!--#composite.covered_above_500m--> of the 926. The largest connected gap is
notes/draft-methods.md,234,3. Compositing,47,measured,inline resolver,composite.largest_absent_block,47<!--#composite.largest_absent_block--> cells over the mountains on the southern
notes/draft-methods.md,236,3. Compositing,6,measured,inline resolver,composite.coast_median_soundings,sounding count is 6<!--#composite.coast_median_soundings--> against
notes/draft-methods.md,237,3. Compositing,133,measured,inline resolver,composite.land_median_soundings,133<!--#composite.land_median_soundings--> for cells that are wholly land.
notes/draft-methods.md,245,3. Compositing,2025,self_evident,year as a date,,"al., 2025). Averaging within a cell and an orbit is therefore nearly free;"
notes/draft-methods.md,249,3. Compositing,6,self_evident,structural context,,and neither can be derived from the other. The capability assessment in §6
notes/draft-methods.md,252,4. Land cover and covariates,4,self_evident,structural line,,## 4. Land cover and covariates
notes/draft-methods.md,254,4.1 Urban extent,4.1,self_evident,structural line,,### 4.1 Urban extent
notes/draft-methods.md,259,4.1 Urban extent,2020,self_evident,year as a date,,"* **GAIA**, the Global Artificial Impervious Area dataset (Gong et al., 2020), at"
notes/draft-methods.md,260,4.1 Urban extent,30,cited,in a draft's own exemption list,"introduction: inventory spread, at least 30 percent", 30 m.
notes/draft-methods.md,261,4.1 Urban extent,2021,self_evident,year as a date,,"* **GISA**, the Global Impervious Surface Area dataset (Huang et al., 2021), at"
notes/draft-methods.md,262,4.1 Urban extent,30,cited,in a draft's own exemption list,"introduction: inventory spread, at least 30 percent", 30 m.
notes/draft-methods.md,267,4.1 Urban extent,2023,self_evident,inside a code span,,"`year = 2023 − value`, so an extent through a target year selects values at or"
notes/draft-methods.md,268,4.1 Urban extent,1972,self_evident,year as a date,,"*above* the code for that year. GISA counts upward from 1972, so the same extent"
notes/draft-methods.md,269,4.1 Urban extent,1,neither,no resolver and no exemption,,"is a closed interval from 1 to the code for that year — not a one-sided threshold,"
notes/draft-methods.md,270,4.1 Urban extent,0,neither,no resolver and no exemption,,because 0 denotes absence and an upper-bound-only selector would count every
